,Field,Value
0,RN:,9750400J
1,CU:,0:46:30 B2:00 60.16.293
2,NC:,211
3,SR:,21900
4,CS:,2.606
5,PL:,JVC
6,SC:,N
7,ID:,Keiko BE7A
8,AG:,M17Keiko M1975Keiko BE7A
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,INEBE7A
12,OD:,18-Feb-1997 BE7A | 1997BE7A FebBE7A
13,NT:,"BE7A OCA Tape #5. Hydrophones recorded on HiFi L & R. SMPTE code on Norm. Time Code available on tape #5. Radio station occurs occasionally, also, on HiFi Chs. This is a double uplooped and downlooped FM (two separate whistles), again very uncharacteristic of killer whales. Cannot be a Tursiops whistle since the whistles ovelap, and Tursiops cannot produce overlapping whistles. I originally thought that they may have been some attempt at mimicry, but the killer whale may indeed just be mimicing something in the pool such as a squeaking cable. So, one of the whistles may be a cable."
14,DA:,29-Aug-1997
15,IP:,
16,AP:,
17,BH:,BE7A
18,OS:,
19,NA:,1 BE7A
20,GB:,"Oregon Coastal Aquarium, Newport, OR BE7A"
21,GC:,N4439BE7A W12404BE7A
22,OT:,BE7A
23,SH:,AQ
24,AU:,FWKF
25,LO:,Blake | CD#31
26,HY:,5
27,RC:,
28,RG:,"Panasonic AG-7400 VHS, Hi-Tech HTI-94-SSQ hydrophones | 1 WHOI Video camera"
29,SL:,
30,ST:,FMBE7A | Double up and downlooping overlapping whistles BE7A
